,events.out.tfevents.1556352201.drltf.events.model
113000,-0.7156013250350952
114000,-0.6884424686431885
115000,-0.6856509447097778
116000,-0.6750215888023376
117000,-0.6629260778427124
118000,-0.6348190903663635
119000,-0.6366856098175049
120000,-0.6306103467941284
121000,-0.6045086979866028
122000,-0.6001065373420715
123000,-0.6209934949874878
124000,-0.6370987296104431
125000,-0.6202383041381836
126000,-0.6340579390525818
127000,-0.6321232318878174
128000,-0.6355376839637756
129000,-0.645887553691864
130000,-0.647699236869812
131000,-0.6379357576370239
132000,-0.6230026483535767
133000,-0.5677658319473267
134000,-0.5592141151428223
135000,-0.5478204488754272
136000,-0.5355337858200073
137000,-0.5279790163040161
138000,-0.527992844581604
139000,-0.5257580876350403
140000,-0.5440899133682251
141000,-0.557968020439148
142000,-0.5400395393371582
143000,-0.578971266746521
144000,-0.5575270056724548
145000,-0.5766929388046265
146000,-0.5844794511795044
147000,-0.5823814272880554
148000,-0.5827747583389282
149000,-0.5757503509521484
150000,-0.5689537525177002
151000,-0.5684324502944946
152000,-0.5567801594734192
153000,-0.567207396030426
154000,-0.579708456993103
155000,-0.5520241856575012
156000,-0.5612121820449829
157000,-0.5795363783836365
158000,-0.5731474161148071
159000,-0.5673329830169678
160000,-0.5652723908424377
161000,-0.5659810304641724
162000,-0.5791682600975037
163000,-0.5738416910171509
164000,-0.6182421445846558
165000,-0.6458644866943359
166000,-0.6461469531059265
167000,-0.6287125945091248
168000,-0.6198948621749878
169000,-0.6171491742134094
170000,-0.626266598701477
171000,-0.6170505881309509
172000,-0.5752366781234741
173000,-0.5736689567565918
174000,-0.5610493421554565
175000,-0.5357240438461304
176000,-0.5242822170257568
177000,-0.541181206703186
178000,-0.5581521987915039
179000,-0.575487494468689
180000,-0.5844492316246033
181000,-0.595337450504303
182000,-0.5783284306526184
183000,-0.6060144901275635
184000,-0.5925227999687195
185000,-0.594622015953064
186000,-0.6032260656356812
187000,-0.6199843883514404
188000,-0.6156814098358154
189000,-0.6127665042877197
190000,-0.604993999004364
191000,-0.6048072576522827
192000,-0.5801448225975037
193000,-0.5793963670730591
194000,-0.5681166052818298
195000,-0.5882197618484497
196000,-0.5922523736953735
197000,-0.564042866230011
198000,-0.553538978099823
199000,-0.5348647236824036
200000,-0.5253485441207886
201000,-0.5071595907211304
202000,-0.476214736700058
203000,-0.4754965901374817
204000,-0.47160735726356506
205000,-0.4718991219997406
206000,-0.48409557342529297
207000,-0.4974729120731354
208000,-0.4810890257358551
209000,-0.48062700033187866
210000,-0.48541513085365295
211000,-0.4957340657711029
212000,-0.49886640906333923
213000,-0.4996086657047272
214000,-0.4938117563724518
215000,-0.48795318603515625
216000,-0.5213798880577087
217000,-0.5129871368408203
218000,-0.5266029834747314
219000,-0.5105706453323364
220000,-0.4931071400642395
221000,-0.491263210773468
222000,-0.48805373907089233
223000,-0.5007942914962769
224000,-0.4944964349269867
225000,-0.5181312561035156
226000,-0.518791913986206
227000,-0.5047221779823303
228000,-0.514695405960083
229000,-0.507459282875061
230000,-0.4969342350959778
231000,-0.5094205737113953
232000,-0.474515825510025
233000,-0.47300824522972107
234000,-0.46603313088417053
235000,-0.4952877163887024
236000,-0.47160935401916504
237000,-0.4509218633174896
238000,-0.412715345621109
239000,-0.410759836435318
240000,-0.4069053530693054
241000,-0.4140988886356354
242000,-0.3979124426841736
243000,-0.37814417481422424
244000,-0.3895081877708435
245000,-0.38570088148117065
246000,-0.3912946581840515
247000,-0.40141019225120544
248000,-0.3992222249507904
249000,-0.3889559209346771
250000,-0.4026024341583252
251000,-0.4201505780220032
252000,-0.44141554832458496
253000,-0.45681285858154297
254000,-0.4240688681602478
255000,-0.4281241297721863
256000,-0.4607912600040436
257000,-0.4798615574836731
258000,-0.48266130685806274
259000,-0.46237221360206604
260000,-0.4511944353580475
261000,-0.46256837248802185
262000,-0.4560093879699707
263000,-0.449099063873291
264000,-0.45486611127853394
265000,-0.44571471214294434
266000,-0.44243064522743225
267000,-0.4400758147239685
268000,-0.4282357096672058
269000,-0.4058569371700287
270000,-0.426179975271225
271000,-0.4348716735839844
272000,-0.43019357323646545
273000,-0.4189422130584717
274000,-0.42008933424949646
275000,-0.42846646904945374
276000,-0.42702990770339966
277000,-0.4208405911922455
278000,-0.4247840940952301
279000,-0.4222376346588135
280000,-0.42229700088500977
281000,-0.4401252865791321
282000,-0.43514132499694824
283000,-0.4278186857700348
284000,-0.4331504702568054
285000,-0.4238453805446625
286000,-0.4345433712005615
287000,-0.4345017075538635
288000,-0.43046706914901733
289000,-0.42508071660995483
290000,-0.4322722554206848
291000,-0.4391480088233948
292000,-0.41814398765563965
293000,-0.3978855013847351
294000,-0.4039975702762604
295000,-0.40125519037246704
296000,-0.3971814811229706
297000,-0.3860153555870056
298000,-0.36097803711891174
299000,-0.341704785823822
300000,-0.3285848796367645
