,events.out.tfevents.1556378386.drltf.events.model
1000,53.61111068725586
2000,39.45000076293945
3000,42.54999923706055
4000,38.099998474121094
5000,54.70000076293945
6000,63.79999923706055
7000,42.5
8000,45.650001525878906
9000,43.95000076293945
10000,54.599998474121094
11000,48.599998474121094
12000,45.70000076293945
13000,45.54999923706055
14000,45.54999923706055
15000,54.650001525878906
16000,45.599998474121094
17000,39.45000076293945
18000,48.75
19000,51.599998474121094
20000,51.650001525878906
21000,47.20000076293945
22000,54.900001525878906
23000,48.45000076293945
24000,60.75
25000,48.70000076293945
26000,48.599998474121094
27000,56.349998474121094
28000,45.70000076293945
29000,51.79999923706055
30000,48.75
31000,54.650001525878906
32000,57.849998474121094
33000,51.650001525878906
34000,48.79999923706055
35000,57.75
36000,48.599998474121094
37000,48.5
38000,48.599998474121094
39000,48.54999923706055
40000,53.5
41000,56.45000076293945
42000,42.54999923706055
43000,51.54999923706055
44000,39.45000076293945
45000,41.099998474121094
46000,48.45000076293945
47000,45.599998474121094
48000,48.70000076293945
49000,50.150001525878906
50000,48.75
51000,51.650001525878906
52000,50.25
53000,59.5
54000,50.25
55000,44.150001525878906
56000,60.650001525878906
57000,48.5
58000,57.599998474121094
59000,54.79999923706055
60000,39.54999923706055
61000,60.75
62000,54.75
63000,57.70000076293945
64000,54.79999923706055
65000,51.75
66000,44.099998474121094
67000,45.54999923706055
68000,53.20000076293945
69000,54.849998474121094
70000,54.849998474121094
71000,36.45000076293945
72000,48.54999923706055
73000,47.04999923706055
74000,54.75
75000,65.4000015258789
76000,45.599998474121094
77000,48.650001525878906
78000,48.75
79000,45.75
80000,47.099998474121094
81000,51.75
82000,62.349998474121094
83000,48.599998474121094
84000,51.75
85000,48.650001525878906
86000,48.650001525878906
87000,47.25
88000,48.650001525878906
89000,62.29999923706055
90000,47.349998474121094
91000,45.45000076293945
92000,47.349998474121094
93000,56.349998474121094
94000,50.150001525878906
95000,60.79999923706055
96000,48.70000076293945
97000,57.650001525878906
98000,54.599998474121094
99000,57.75
100000,63.849998474121094
101000,57.75
102000,45.599998474121094
103000,48.45000076293945
104000,63.79999923706055
105000,74.44999694824219
106000,54.849998474121094
107000,54.849998474121094
108000,51.70000076293945
109000,59.150001525878906
110000,72.94999694824219
111000,60.650001525878906
112000,45.70000076293945
113000,61.099998474121094
114000,56.45000076293945
115000,62.349998474121094
116000,68.3499984741211
117000,63.849998474121094
118000,60.75
119000,58.04999923706055
120000,59.54999923706055
121000,56.20000076293945
122000,60.900001525878906
123000,62.400001525878906
124000,57.70000076293945
125000,63.75
126000,61.0
127000,50.20000076293945
128000,57.849998474121094
129000,56.400001525878906
130000,65.44999694824219
131000,74.5999984741211
132000,66.94999694824219
133000,51.70000076293945
134000,53.400001525878906
135000,66.94999694824219
136000,51.75
137000,58.04999923706055
138000,53.5
139000,63.900001525878906
140000,68.30000305175781
141000,57.849998474121094
142000,65.4000015258789
143000,56.25
144000,60.849998474121094
145000,56.349998474121094
146000,54.849998474121094
147000,53.20000076293945
148000,48.650001525878906
149000,64.0999984741211
150000,60.900001525878906
151000,68.44999694824219
152000,50.349998474121094
153000,68.55000305175781
154000,73.19999694824219
155000,47.25
156000,62.400001525878906
157000,67.0
158000,63.75
159000,77.5999984741211
160000,60.900001525878906
161000,70.05000305175781
162000,64.0999984741211
163000,54.75
164000,59.599998474121094
165000,60.650001525878906
166000,63.650001525878906
167000,65.5
168000,65.6500015258789
169000,66.80000305175781
170000,71.55000305175781
171000,79.25
172000,58.0
173000,62.650001525878906
174000,68.5999984741211
175000,80.8499984741211
176000,74.9000015258789
177000,68.8499984741211
178000,73.19999694824219
179000,61.0
180000,76.19999694824219
181000,83.55000305175781
182000,86.80000305175781
183000,70.0999984741211
184000,70.30000305175781
185000,69.94999694824219
186000,71.5
187000,67.1500015258789
188000,76.25
189000,86.80000305175781
190000,79.0999984741211
191000,74.44999694824219
192000,71.4000015258789
193000,69.8499984741211
194000,63.900001525878906
195000,60.75
196000,61.0
197000,71.5
198000,82.05000305175781
199000,73.19999694824219
200000,80.9000015258789
201000,73.19999694824219
202000,79.30000305175781
203000,64.0999984741211
204000,70.25
205000,73.1500015258789
206000,65.55000305175781
207000,74.5999984741211
208000,76.0999984741211
209000,69.8499984741211
210000,70.0999984741211
211000,67.19999694824219
212000,82.30000305175781
213000,90.05000305175781
214000,70.44999694824219
215000,70.3499984741211
216000,67.0
217000,69.8499984741211
218000,83.94999694824219
219000,70.19999694824219
220000,76.25
221000,73.0999984741211
222000,76.25
223000,82.19999694824219
224000,79.5
225000,76.3499984741211
226000,80.9000015258789
227000,93.19999694824219
228000,83.9000015258789
229000,67.05000305175781
230000,69.80000305175781
231000,83.9000015258789
232000,88.8499984741211
233000,81.05000305175781
234000,65.75
235000,73.6500015258789
236000,79.55000305175781
237000,81.05000305175781
238000,97.55000305175781
239000,88.25
240000,70.3499984741211
241000,83.9000015258789
242000,96.05000305175781
243000,101.8499984741211
244000,92.75
245000,81.0999984741211
246000,82.44999694824219
247000,79.4000015258789
248000,64.05000305175781
249000,79.3499984741211
250000,73.3499984741211
251000,85.4000015258789
252000,109.9000015258789
253000,84.0999984741211
254000,82.6500015258789
255000,81.25
256000,90.05000305175781
257000,83.94999694824219
258000,87.19999694824219
259000,91.44999694824219
260000,96.05000305175781
261000,88.5
262000,90.1500015258789
263000,91.75
264000,64.0999984741211
265000,73.5
266000,76.3499984741211
267000,86.94999694824219
268000,83.94999694824219
269000,85.55000305175781
270000,87.05000305175781
271000,91.6500015258789
272000,99.0
273000,90.0999984741211
274000,85.6500015258789
275000,88.5
276000,84.1500015258789
